Question #,RunSize,TaskID,Prompt,Resolution,WordLengthPattern,ClearInteractions,Response
1,16,6,"You are an expert in the subfield of statistics called design of experiments. Your goal is to construct a two-level fractional factorial design with maximum resolution and minimum aberration.  You will think step by step about how to construct the design. The number of factors is 10 and the number of runs is 16. The factors have two levels coded as '-1' and '+1'. However, you will only generate a table containing the design. You will not generate any text explaining the table or your answer. The table must be in a comma-separated values (CSV) format. Specifically, the values in the table must be separated by ‘,’ and each row must end with ‘\’. In the table, the first row will be used as a header row to label the factors using the letters in the English alphabet starting with ‘A’. The first column will be called “Run” and used to count the number of runs starting at ‘1’. Each design cell (excluding the header and Run columns) must contain either ‘-1’ or ‘1’. Construct the two-level fractional factorial design with 16 runs and 10 factors that has maximum resolution and minimum aberration.",3,None,0,"Run,A,B,C,D,E,F,G,H,I,J\
1,-1,-1,-1,-1,1,1,1,1,1,1\
2,1,-1,-1,-1,-1,-1,-1,1,1,1\
3,-1,1,-1,-1,-1,1,1,-1,-1,1\
4,1,1,-1,-1,1,-1,-1,-1,-1,1\
5,-1,-1,1,-1,1,-1,1,-1,1,-1\
6,1,-1,1,-1,-1,1,-1,-1,1,-1\
7,-1,1,1,-1,-1,-1,1,1,-1,-1\
8,1,1,1,-1,1,1,-1,1,-1,-1\
9,-1,-1,-1,1,1,1,-1,1,-1,-1\
10,1,-1,-1,1,-1,-1,1,1,-1,-1\
11,-1,1,-1,1,-1,1,-1,-1,1,-1\
12,1,1,-1,1,1,-1,1,-1,1,-1\
13,-1,-1,1,1,1,-1,-1,-1,-1,1\
14,1,-1,1,1,-1,1,1,-1,-1,1\
15,-1,1,1,1,-1,-1,-1,1,1,1\
16,1,1,1,1,1,1,1,1,1,1\"
2,16,2,"You are an expert in the subfield of statistics called design of experiments. Your goal is to construct a two-level fractional factorial design with maximum resolution and minimum aberration.  You will think step by step about how to construct the design. The number of factors is 6 and the number of runs is 16. The factors have two levels coded as '-1' and '+1'. However, you will only generate a table containing the design. You will not generate any text explaining the table or your answer. The table must be in a comma-separated values (CSV) format. Specifically, the values in the table must be separated by ‘,’ and each row must end with ‘\’. In the table, the first row will be used as a header row to label the factors using the letters in the English alphabet starting with ‘A’. The first column will be called “Run” and used to count the number of runs starting at ‘1’. Each design cell (excluding the header and Run columns) must contain either ‘-1’ or ‘1’. Construct the two-level fractional factorial design with 16 runs and 6 factors that has maximum resolution and minimum aberration.",4,None,0,"Run,A,B,C,D,E,F\
1,-1,-1,-1,-1,-1,-1\
2,1,-1,-1,-1,1,1\
3,-1,1,-1,-1,1,1\
4,1,1,-1,-1,-1,-1\
5,-1,-1,1,-1,1,-1\
6,1,-1,1,-1,-1,1\
7,-1,1,1,-1,-1,1\
8,1,1,1,-1,1,-1\
9,-1,-1,-1,1,-1,1\
10,1,-1,-1,1,1,-1\
11,-1,1,-1,1,1,-1\
12,1,1,-1,1,-1,1\
13,-1,-1,1,1,1,1\
14,1,-1,1,1,-1,-1\
15,-1,1,1,1,-1,-1\
16,1,1,1,1,1,1\"
3,16,4,"You are an expert in the subfield of statistics called design of experiments. Your goal is to construct a two-level fractional factorial design with maximum resolution and minimum aberration.  You will think step by step about how to construct the design. The number of factors is 8 and the number of runs is 16. The factors have two levels coded as '-1' and '+1'. However, you will only generate a table containing the design. You will not generate any text explaining the table or your answer. The table must be in a comma-separated values (CSV) format. Specifically, the values in the table must be separated by ‘,’ and each row must end with ‘\’. In the table, the first row will be used as a header row to label the factors using the letters in the English alphabet starting with ‘A’. The first column will be called “Run” and used to count the number of runs starting at ‘1’. Each design cell (excluding the header and Run columns) must contain either ‘-1’ or ‘1’. Construct the two-level fractional factorial design with 16 runs and 8 factors that has maximum resolution and minimum aberration.",4,None,0,"Run,A,B,C,D,E,F,G,H\
1,-1,-1,-1,-1,-1,-1,-1,-1\
2,-1,-1,-1,1,1,1,-1,1\
3,-1,-1,1,-1,1,1,1,-1\
4,-1,-1,1,1,-1,-1,1,1\
5,-1,1,-1,-1,1,-1,1,1\
6,-1,1,-1,1,-1,1,1,-1\
7,-1,1,1,-1,-1,1,-1,1\
8,-1,1,1,1,1,-1,-1,-1\
9,1,-1,-1,-1,-1,1,1,1\
10,1,-1,-1,1,1,-1,1,-1\
11,1,-1,1,-1,1,-1,-1,1\
12,1,-1,1,1,-1,1,-1,-1\
13,1,1,-1,-1,1,1,-1,-1\
14,1,1,-1,1,-1,-1,-1,1\
15,1,1,1,-1,-1,-1,1,-1\
16,1,1,1,1,1,1,1,1\"
4,16,1,"You are an expert in the subfield of statistics called design of experiments. Your goal is to construct a two-level fractional factorial design with maximum resolution and minimum aberration.  You will think step by step about how to construct the design. The number of factors is 5 and the number of runs is 16. The factors have two levels coded as '-1' and '+1'. However, you will only generate a table containing the design. You will not generate any text explaining the table or your answer. The table must be in a comma-separated values (CSV) format. Specifically, the values in the table must be separated by ‘,’ and each row must end with ‘\’. In the table, the first row will be used as a header row to label the factors using the letters in the English alphabet starting with ‘A’. The first column will be called “Run” and used to count the number of runs starting at ‘1’. Each design cell (excluding the header and Run columns) must contain either ‘-1’ or ‘1’. Construct the two-level fractional factorial design with 16 runs and 5 factors that has maximum resolution and minimum aberration.",5,None,10,"Run,A,B,C,D,E\
1,-1,-1,-1,-1,1\
2,1,-1,-1,-1,-1\
3,-1,1,-1,-1,-1\
4,1,1,-1,-1,1\
5,-1,-1,1,-1,-1\
6,1,-1,1,-1,1\
7,-1,1,1,-1,1\
8,1,1,1,-1,-1\
9,-1,-1,-1,1,-1\
10,1,-1,-1,1,1\
11,-1,1,-1,1,1\
12,1,1,-1,1,-1\
13,-1,-1,1,1,1\
14,1,-1,1,1,-1\
15,-1,1,1,1,-1\
16,1,1,1,1,1\"
5,16,7,"You are an expert in the subfield of statistics called design of experiments. Your goal is to construct a two-level fractional factorial design with maximum resolution and minimum aberration.  You will think step by step about how to construct the design. The number of factors is 11 and the number of runs is 16. The factors have two levels coded as '-1' and '+1'. However, you will only generate a table containing the design. You will not generate any text explaining the table or your answer. The table must be in a comma-separated values (CSV) format. Specifically, the values in the table must be separated by ‘,’ and each row must end with ‘\’. In the table, the first row will be used as a header row to label the factors using the letters in the English alphabet starting with ‘A’. The first column will be called “Run” and used to count the number of runs starting at ‘1’. Each design cell (excluding the header and Run columns) must contain either ‘-1’ or ‘1’. Construct the two-level fractional factorial design with 16 runs and 11 factors that has maximum resolution and minimum aberration.",3,None,0,"Run,A,B,C,D,E,F,G,H,I,J,K\
1,-1,-1,-1,-1,1,1,1,1,1,1,1\
2,1,-1,-1,-1,-1,-1,-1,1,1,1,-1\
3,-1,1,-1,-1,-1,1,1,-1,-1,1,-1\
4,1,1,-1,-1,1,-1,-1,-1,-1,1,1\
5,-1,-1,1,-1,1,-1,1,-1,1,-1,-1\
6,1,-1,1,-1,-1,1,-1,-1,1,-1,1\
7,-1,1,1,-1,-1,-1,1,1,-1,-1,1\
8,1,1,1,-1,1,1,-1,1,1,-1,-1\
9,-1,-1,-1,1,1,1,-1,1,-1,-1,-1\
10,1,-1,-1,1,-1,-1,1,1,-1,-1,1\
11,-1,1,-1,1,-1,1,-1,-1,1,-1,1\
12,1,1,-1,1,1,-1,1,-1,1,-1,-1\
13,-1,-1,1,1,1,-1,-1,-1,-1,1,1\
14,1,-1,1,1,-1,1,1,-1,-1,1,-1\
15,-1,1,1,1,-1,-1,-1,1,1,1,-1\
16,1,1,1,1,1,1,1,1,1,1,1\"
6,16,8,"You are an expert in the subfield of statistics called design of experiments. Your goal is to construct a two-level fractional factorial design with maximum resolution and minimum aberration.  You will think step by step about how to construct the design. The number of factors is 12 and the number of runs is 16. The factors have two levels coded as '-1' and '+1'. However, you will only generate a table containing the design. You will not generate any text explaining the table or your answer. The table must be in a comma-separated values (CSV) format. Specifically, the values in the table must be separated by ‘,’ and each row must end with ‘\’. In the table, the first row will be used as a header row to label the factors using the letters in the English alphabet starting with ‘A’. The first column will be called “Run” and used to count the number of runs starting at ‘1’. Each design cell (excluding the header and Run columns) must contain either ‘-1’ or ‘1’. Construct the two-level fractional factorial design with 16 runs and 12 factors that has maximum resolution and minimum aberration.",3,None,0,"Run,A,B,C,D,E,F,G,H,I,J,K,L\
1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1\
2,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1\
3,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1\
4,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1\
5,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1\
6,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1\
7,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1\
8,1,1,1,-1,1,1,-1,1,-1,-1,1,-1\
9,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1\
10,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1\
11,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1\
12,1,1,-1,1,1,-1,1,-1,1,-1,-1,1\
13,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1\
14,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1\
15,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1\
16,1,1,1,1,1,1,1,1,1,1,1,1\"
7,16,3,"You are an expert in the subfield of statistics called design of experiments. Your goal is to construct a two-level fractional factorial design with maximum resolution and minimum aberration.  You will think step by step about how to construct the design. The number of factors is 7 and the number of runs is 16. The factors have two levels coded as '-1' and '+1'. However, you will only generate a table containing the design. You will not generate any text explaining the table or your answer. The table must be in a comma-separated values (CSV) format. Specifically, the values in the table must be separated by ‘,’ and each row must end with ‘\’. In the table, the first row will be used as a header row to label the factors using the letters in the English alphabet starting with ‘A’. The first column will be called “Run” and used to count the number of runs starting at ‘1’. Each design cell (excluding the header and Run columns) must contain either ‘-1’ or ‘1’. Construct the two-level fractional factorial design with 16 runs and 7 factors that has maximum resolution and minimum aberration.",4,None,0,"Run,A,B,C,D,E,F,G\
1,-1,-1,-1,-1,-1,-1,-1\
2,1,-1,-1,-1,1,1,1\
3,-1,1,-1,-1,1,1,-1\
4,1,1,-1,-1,-1,-1,1\
5,-1,-1,1,-1,1,-1,1\
6,1,-1,1,-1,-1,1,-1\
7,-1,1,1,-1,-1,1,1\
8,1,1,1,-1,1,-1,-1\
9,-1,-1,-1,1,-1,1,1\
10,1,-1,-1,1,1,-1,-1\
11,-1,1,-1,1,1,-1,1\
12,1,1,-1,1,-1,1,-1\
13,-1,-1,1,1,1,1,-1\
14,1,-1,1,1,-1,-1,1\
15,-1,1,1,1,-1,-1,-1\
16,1,1,1,1,1,1,1\"
8,16,10,"You are an expert in the subfield of statistics called design of experiments. Your goal is to construct a two-level fractional factorial design with maximum resolution and minimum aberration.  You will think step by step about how to construct the design. The number of factors is 14 and the number of runs is 16. The factors have two levels coded as '-1' and '+1'. However, you will only generate a table containing the design. You will not generate any text explaining the table or your answer. The table must be in a comma-separated values (CSV) format. Specifically, the values in the table must be separated by ‘,’ and each row must end with ‘\’. In the table, the first row will be used as a header row to label the factors using the letters in the English alphabet starting with ‘A’. The first column will be called “Run” and used to count the number of runs starting at ‘1’. Each design cell (excluding the header and Run columns) must contain either ‘-1’ or ‘1’. Construct the two-level fractional factorial design with 16 runs and 14 factors that has maximum resolution and minimum aberration.",3,None,0,"Run,A,B,C,D,E,F,G,H,I,J,K,L,M,N\
1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1\
2,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1\
3,-1,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,-1\
4,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1\
5,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1\
6,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,1\
7,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1\
8,1,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1\
9,-1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1\
10,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,1\
11,-1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,1\
12,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1\
13,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1\
14,1,-1,1,1,1,1,-1,-1,1,1,-1,1,-1,-1\
15,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,1,-1\
16,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1\"
9,16,11,"You are an expert in the subfield of statistics called design of experiments. Your goal is to construct a two-level fractional factorial design with maximum resolution and minimum aberration.  You will think step by step about how to construct the design. The number of factors is 15 and the number of runs is 16. The factors have two levels coded as '-1' and '+1'. However, you will only generate a table containing the design. You will not generate any text explaining the table or your answer. The table must be in a comma-separated values (CSV) format. Specifically, the values in the table must be separated by ‘,’ and each row must end with ‘\’. In the table, the first row will be used as a header row to label the factors using the letters in the English alphabet starting with ‘A’. The first column will be called “Run” and used to count the number of runs starting at ‘1’. Each design cell (excluding the header and Run columns) must contain either ‘-1’ or ‘1’. Construct the two-level fractional factorial design with 16 runs and 15 factors that has maximum resolution and minimum aberration.",3,None,0,"Run,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O\
1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1\
2,1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,-1\
3,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,1\
4,1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,1,1,-1\
5,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1\
6,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1\
7,-1,1,1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1\
8,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1\
9,-1,-1,-1,1,1,1,-1,1,-1,-1,1,1,-1,1,-1\
10,1,-1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1\
11,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1\
12,1,1,-1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1\
13,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1\
14,1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1\
15,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,-1\
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1\"
10,16,5,"You are an expert in the subfield of statistics called design of experiments. Your goal is to construct a two-level fractional factorial design with maximum resolution and minimum aberration.  You will think step by step about how to construct the design. The number of factors is 9 and the number of runs is 16. The factors have two levels coded as '-1' and '+1'. However, you will only generate a table containing the design. You will not generate any text explaining the table or your answer. The table must be in a comma-separated values (CSV) format. Specifically, the values in the table must be separated by ‘,’ and each row must end with ‘\’. In the table, the first row will be used as a header row to label the factors using the letters in the English alphabet starting with ‘A’. The first column will be called “Run” and used to count the number of runs starting at ‘1’. Each design cell (excluding the header and Run columns) must contain either ‘-1’ or ‘1’. Construct the two-level fractional factorial design with 16 runs and 9 factors that has maximum resolution and minimum aberration.",3,None,0,"Run,A,B,C,D,E,F,G,H,I\
1,-1,-1,-1,-1,-1,-1,-1,-1,1\
2,1,-1,-1,-1,1,1,1,-1,-1\
3,-1,1,-1,-1,1,1,1,-1,-1\
4,1,1,-1,-1,-1,-1,-1,1,1\
5,-1,-1,1,-1,1,1,1,1,-1\
6,1,-1,1,-1,-1,-1,-1,1,1\
7,-1,1,1,-1,-1,-1,-1,-1,1\
8,1,1,1,-1,1,1,1,-1,-1\
9,-1,-1,-1,1,-1,1,1,1,-1\
10,1,-1,-1,1,1,-1,-1,1,1\
11,-1,1,-1,1,1,-1,-1,-1,1\
12,1,1,-1,1,-1,1,1,-1,-1\
13,-1,-1,1,1,1,-1,-1,-1,1\
14,1,-1,1,1,-1,1,1,-1,-1\
15,-1,1,1,1,-1,1,1,1,-1\
16,1,1,1,1,1,-1,-1,1,1\"
